iucn_sid,sciname,common,subpop,habs,max_depth,cat,cat_score
185995,eucinostomus gula,silver jenny,NA,"9.10, 9.4, 9.5, 9.8, 9.9",< 200 m,lc,0
185996,eucinostomus jonesii,slender mojarra,NA,"9.4, 9.9",< 200 m,lc,0
185997,eugerres plumieri,striped mojarra,NA,"12.7, 9.10",< 200 m,lc,0
185998,eugerres brasilianus,brazilian mojarra,NA,"12.5, 12.7, 9.10, 9.4, 9.5, 9.6",< 200 m,lc,0
185999,evorthodus lyricus,lyre goby,NA,"12.6, 9.10, 9.6",< 200 m,lc,0
186000,gobiesox lucayanus,bahama skilletfish,NA,9.2,< 200 m,lc,0
186001,gobiesox nigripinnis,blackfinned clingfish,NA,"12.1, 9.8",< 200 m,lc,0
186003,gobiesox punctulatus,stippled clingfish,NA,"12.1, 9.8",< 200 m,lc,0
186004,gobiesox barbatulus,lappetlip clingfish,NA,"12.1, 12.6",< 20 m,lc,0
186005,gobiesox strumosus,skilletfish,NA,12.1,< 20 m,lc,0
186006,gobioides grahamae,goby,NA,"9.10, 9.6",< 200 m,dd,NA
186007,gobioides broussonnetii,violet goby,NA,"9.10, 9.6",< 200 m,lc,0
186008,gobiomorus dormitor,bigmouth sleeper,NA,"12.7, 9.10",< 200 m,lc,0
186010,gobiosoma ginsburgi,seaboard goby,NA,"9.10, 9.2, 9.8",< 200 m,lc,0
186011,gobiosoma longipala,twoscale goby,NA,"9.3, 9.4",< 200 m,lc,0
186012,gobiosoma bosc,naked goby,NA,9.10,< 200 m,lc,0
186013,gobiosoma grosvenori,rockcut goby,NA,9.8,< 200 m,lc,0
186014,gobiosoma hildebrandi,hildebrand's goby,NA,9.10,< 200 m,vu,0.4
186015,gobiosoma spes,vermiculated goby,NA,9.6,< 200 m,lc,0
186016,gobiosoma spilotum,isthmian goby,NA,"12.1, 12.2",< 20 m,en,0.6
186018,gobulus myersi,paleback goby,NA,9.8,< 200 m,lc,0
186019,guavina guavina,guavina,NA,"12.7, 9.10",< 200 m,lc,0
186020,lipogramma rosea,rosy basslet,NA,"9.8, 9.8.3",< 200 m,lc,0
186021,lipogramma klayi,bicolor basslet,NA,9.2,< 200 m,lc,0
186022,lipogramma regia,royal basslet,NA,"9.8, 9.8.3",< 200 m,lc,0
186023,lipogramma flavescens,yellow basslet,NA,"11.1, 11.1.1",deep oceanic,dd,NA
186024,lipogramma evides,banded basslet,NA,11.5,deep oceanic,lc,0
186025,lipogramma anabantoides,dusky basslet,NA,"9.8, 9.8.3",< 200 m,lc,0
186026,lipogramma trilineata,threeline basslet,NA,"9.8, 9.8.3",< 200 m,lc,0
186027,lythrypnus mowbrayi,bermuda goby,NA,9.8,< 200 m,lc,0
186028,lythrypnus phorellus,convict goby,NA,9.2,< 200 m,lc,0
186029,lythrypnus heterochroma,diphasic goby,NA,9.8,< 200 m,lc,0
186030,lythrypnus spilus,bluegold goby,NA,"9.2, 9.8",< 200 m,lc,0
186031,lythrypnus okapia,okapi goby,NA,9.8,< 200 m,lc,0
186032,lythrypnus minimus,pygmy goby,NA,9.8,< 200 m,lc,0
186033,lythrypnus nesiotes,island goby,NA,"9.2, 9.8",< 200 m,lc,0
186034,lythrypnus elasson,dwarf goby,NA,9.8,< 200 m,lc,0
186035,microgobius carri,seminole goby,NA,"9.4, 9.8",< 200 m,lc,0
186036,microgobius signatus,dashback goby,NA,"9.4, 9.5",< 200 m,lc,0
186037,microgobius thalassinus,green goby,NA,"12.6, 9.9",< 200 m,lc,0
186038,microgobius microlepis,banner goby,NA,"9.4, 9.8",< 200 m,lc,0
186039,microgobius meeki,meek's goby,NA,"17, 9.10, 9.6",< 200 m,lc,0
186040,microgobius gulosus,clown goby,NA,"9.10, 9.5",< 200 m,lc,0
186041,oxyurichthys stigmalophius,spotfin goby,NA,9.5,< 200 m,lc,0
186042,palatogobius paradoxus,mauve goby,NA,"9.2, 9.4, 9.8",< 200 m,lc,0
186043,parrella macropteryx,longtail goby,NA,9.4,< 200 m,lc,0
186044,priolepis dawsoni,dawson's goby,NA,"12.1, 12.2, 12.6, 9.2, 9.3, 9.8",< 200 m,lc,0
186045,priolepis hipoliti,rusty goby,NA,9.8,< 200 m,lc,0
186052,ptereleotris calliura,blue dartfish,NA,9.4,< 200 m,lc,0
186053,ptereleotris helenae,helen's dartfish,NA,"9.4, 9.8",< 200 m,lc,0
186054,pycnomma roosevelti,roosevelt's goby,NA,"9.4, 9.8",< 200 m,lc,0
186056,sicydium punctatum,spotted algae-eating goby,NA,9.10,< 200 m,lc,0
186057,tomicodon leurodiscus,smooth-suckered clingfish,NA,9.2,< 200 m,lc,0
186058,tomicodon clarkei,coral clingfish,NA,9.8,< 200 m,dd,NA
186059,tomicodon cryptus,cryptic clingfish,NA,"12.1, 12.6",< 20 m,lc,0
186060,tomicodon lavettsmithi,reticulate clingfish,NA,"9.3, 9.7, 9.8",< 200 m,dd,NA
186061,tomicodon rupestris,surge clingfish,NA,12.1,< 20 m,lc,0
186062,tomicodon fasciatus,barred clingfish,NA,12.1,< 20 m,lc,0
186069,mauligobius nigri,NA,NA,"9.10, 9.2, 9.3, 9.4",< 200 m,lc,0
186078,bathygobius casamancus,NA,NA,"12.1, 12.4, 12.5, 12.6, 9.10, 9.8, 9.8.4",< 200 m,lc,0
186086,crenimugil seheli,bluespot mullet,NA,"9.1, 9.10, 9.4, 9.5, 9.6",< 200 m,lc,0
186087,valamugil buchanani,bluetail mullet,NA,9.10,< 200 m,lc,0
186088,oxyurichthys ophthalmonema,eyebrow goby,NA,"12.7, 9.10, 9.8, 9.8.4, 9.8.6, 9.9",< 200 m,lc,0
186089,stenogobius gymnopomus,NA,NA,"9.1, 9.10",< 200 m,dd,NA
186090,yongeichthys nebulosus,shadow goby,NA,"12.6, 12.7, 9.10, 9.4, 9.5, 9.6, 9.8",< 200 m,lc,0
186106,acantholabrus palloni,scale-rayed wrasse,NA,"11.1, 11.1.1, 9.2",200 m +,lc,0
186512,lycengraulis grossidens,atlantic sabertooth anchovy,NA,"9.10, 9.5, 9.6",< 200 m,lc,0
186532,phalloptychus iheringii,NA,NA,9.10,< 200 m,nt,0.2
186910,platanichthys platana,NA,NA,"9.1, 9.10",< 200 m,lc,0
187368,bodianus dictynna,NA,NA,"9.8, 9.8.2, 9.8.3",< 200 m,lc,0
187369,choerodon gomoni,NA,NA,"12.2, 12.3, 9.8",< 200 m,lc,0
187370,halichoeres pardaleocephalus,NA,NA,9.3,< 200 m,lc,0
187371,choerodon margaritiferus,NA,NA,"12.2, 12.3, 9.2, 9.8",< 200 m,lc,0
187372,coris nigrotaenia,blackbar coris,NA,9.3,< 200 m,dd,NA
187373,hemigymnus fasciatus,barred thicklip wrasse,NA,"9.3, 9.8, 9.8.6",< 200 m,lc,0
187374,bodianus tanyokidus,NA,NA,9.8,< 200 m,dd,NA
187375,leptojulis lambdastigma,NA,NA,"9.3, 9.4",< 200 m,dd,NA
187376,xyrichtys rajagopalani,NA,NA,"12.2, 9.4, 9.8, 9.8.2",< 200 m,dd,NA
187377,thalassoma sanctaehelenae,st. helena wrasse,NA,9.2,< 200 m,dd,NA
187378,bodianus opercularis,red-striped hogfish,NA,9.8,< 200 m,lc,0
187379,coris variegata,dapple coris,NA,"9.3, 9.4, 9.8",< 200 m,lc,0
187380,iniistius cyanifrons,NA,NA,9.4,< 200 m,dd,NA
187381,thalassoma lunare,crescent-tail wrasse,NA,"12.2, 12.3, 13.1, 9.2, 9.3, 9.7, 9.8, 9.9",< 200 m,lc,0
187382,halichoeres marginatus,dusky wrasse,NA,"9.2, 9.8",< 200 m,lc,0
187383,cheilio inermis,sharp-nosed rainbowfish,NA,"9.7, 9.8, 9.9",< 200 m,lc,0
187384,cheilinus chlorourus,white-dotted maori wrasse,NA,"12.2, 12.3, 13.1, 9.2, 9.3, 9.4, 9.7, 9.8, 9.9",< 200 m,lc,0
187385,pseudolabrus sieboldi,NA,NA,"9.2, 9.7, 9.8",< 200 m,lc,0
187386,coris marquesensis,marquesan coris,NA,"9.3, 9.4",< 200 m,lc,0
187387,parajulis poecilepterus,multicolorfin rainbowfish,NA,"9.3, 9.4",< 200 m,lc,0
187388,macropharyngodon choati,red-flecked wrasse,NA,"9.3, 9.4, 9.8, 9.8.3, 9.8.5, 9.8.6",< 200 m,lc,0
187389,cirrhilabrus tonozukai,tono's wrasse,NA,"9.3, 9.7, 9.8",< 200 m,dd,NA
187390,suezichthys caudavittatus,red sea slender wrasse,NA,"9.3, 9.8, 9.8.6",< 200 m,lc,0
187391,bodianus thoracotaeniatus,NA,NA,"11.1, 11.1.1",deep oceanic,dd,NA
187392,coris bulbifrons,doubleheader,NA,"12.1, 12.6, 9.4, 9.8, 9.8.4, 9.8.6",< 200 m,vu,0.4
187393,paracheilinus mccoskeri,mccosker's flasher-wrasse,NA,"9.3, 9.7, 9.8",< 200 m,lc,0
187394,coris pictoides,pixie rainbow wrasse,NA,"9.4, 9.8, 9.8.4",< 200 m,lc,0
187395,iniistius aneitensis,white-blotch razor wrasse,NA,"9.4, 9.8, 9.8.4",< 200 m,lc,0
187396,labroides dimidiatus,blue-streak cleaner wrasse,NA,"12.1, 9.2, 9.8, 9.8.2, 9.8.3",< 200 m,lc,0
187397,labrus mixtus,cuckoo wrasse,NA,"9.2, 9.7",< 200 m,lc,0
187398,labrus bergylta,ballan wrasse,NA,"12.1, 9.2, 9.7, 9.8, 9.8.3",< 200 m,lc,0
187399,iniistius umbrilatus,blackside razorfish,NA,9.4,< 200 m,lc,0
187400,choerodon vitta,redstripe tuskfish,NA,"9.3, 9.4, 9.7, 9.8, 9.8.6, 9.9",< 200 m,lc,0
187401,halichoeres dimidiatus,NA,NA,"13.1, 9.3, 9.8",< 200 m,lc,0
187402,iniistius evides,NA,NA,9.4,< 200 m,lc,0
187403,paracheilinus filamentosus,filament-fin wrasse,NA,"9.3, 9.8",< 200 m,lc,0
187404,bodianus albotaeniatus,hawaiian hogfish,NA,"13.1, 9.8",< 200 m,lc,0
187405,halichoeres caudalis,painted wrasse,NA,"17, 9.2, 9.3, 9.8, 9.8.3",< 200 m,lc,0
187406,hologymnosus longipes,sidespot longface wrasse,NA,"9.3, 9.4, 9.8",< 200 m,lc,0
187407,wetmorella nigropinnata,yellow-banded possum wrasse,NA,"13.1, 9.2, 9.7, 9.8",< 200 m,lc,0
187408,xyrichtys woodi,wood's razorfish,NA,"9.3, 9.4",< 200 m,lc,0
187409,ophthalmolepis lineolata,southern maori wrasse,NA,"9.2, 9.7",< 200 m,lc,0
187410,cirrhilabrus marjorie,marjorie's wrasse,NA,"9.3, 9.8",< 200 m,lc,0
187411,iniistius pentadactylus,red-spot razor wrasse,NA,"9.3, 9.4, 9.7, 9.9",< 200 m,lc,0
187412,iniistius trivittatus,three banded razorfish,NA,"9.3, 9.4, 9.8",< 200 m,dd,NA
187413,paracheilinus attenuatus,NA,NA,"9.3, 9.8",< 200 m,lc,0
187414,macropharyngodon kuiteri,black leopard wrasse,NA,"9.3, 9.4, 9.7",< 200 m,lc,0
187415,cirrhilabrus earlei,orange-striped fairy wrasse,NA,"9.3, 9.8",< 200 m,lc,0
187416,macropharyngodon bipartitus,vermiculate wrasse,NA,"9.3, 9.4, 9.8, 9.8.4",< 200 m,lc,0
187417,coris batuensis,schroeder's rainbow-wrasse,NA,"9.2, 9.3, 9.8, 9.8.5, 9.8.6",< 200 m,lc,0
187418,thalassoma pavo,ornate wrasse,NA,"15.11, 9.2, 9.7, 9.9",< 200 m,lc,0
187419,choerodon zamboangae,purple eyebrowed tuskfish,NA,"9.2, 9.3, 9.7, 9.8, 9.8.6",< 200 m,lc,0
187420,bodianus busellatus,NA,NA,9.8,< 200 m,lc,0
187421,paracheilinus walton,NA,NA,"9.3, 9.7, 9.8",< 200 m,lc,0
187422,thalassoma loxum,slant-band wrasse,NA,9.8,< 200 m,dd,NA
187423,oxycheilinus orientalis,oriental maori wrasse,NA,"9.2, 9.7, 9.8, 9.9",< 200 m,lc,0
187424,stethojulis bandanensis,red-spot rainbowfish,NA,"9.8, 9.8.6",< 200 m,lc,0
187425,conniella apterygia,rowley shoals wrasse,NA,"9.8, 9.8.6",< 200 m,vu,0.4
187426,notolabrus tetricus,blue-throated parrotfish,NA,"12.1, 9.2, 9.7, 9.9",< 200 m,lc,0
187427,cirrhilabrus bathyphilus,deepwater wrasse,NA,"9.3, 9.8",< 200 m,lc,0
187428,halichoeres leucoxanthus,lemon meringue wrasse,NA,"9.4, 9.8",< 200 m,lc,0
187429,bodianus sanguineus,sunrise wrasse,NA,"11.1, 11.1.1, 13.1, 9.2",200 m +,lc,0
187430,choerodon cephalotes,purple tuskfish,NA,"12.2, 9.7, 9.8, 9.9",< 200 m,lc,0
187431,pteragogus cryptus,indian sneaky wrasse,NA,"9.7, 9.8",< 200 m,lc,0
187432,halichoeres bleekeri,NA,NA,"9.2, 9.7, 9.8",< 200 m,dd,NA
187433,pteragogus aurigarius,NA,NA,"9.2, 9.7",< 200 m,dd,NA
187434,stethojulis marquesensis,NA,NA,"9.2, 9.4",< 200 m,lc,0
187435,halichoeres socialis,social wrasse,NA,"12.7, 9.3, 9.8, 9.9",< 200 m,en,0.6
187436,coris gaimard,african clown wrasse,NA,9.8,< 200 m,lc,0
187437,minilabrus striatus,minute wrasse,NA,"9.8, 9.8.3",< 200 m,lc,0
187438,halichoeres prosopeion,twotone wrasse,NA,9.8,< 200 m,lc,0
187439,cirrhilabrus laboutei,magenta-streaked wrasse,NA,"9.3, 9.8",< 200 m,lc,0
187440,cirrhilabrus condei,conde's fairy wrasse,NA,"9.3, 9.8",< 200 m,lc,0
187441,novaculichthys taeniourus,olive-scribbled wrasse,NA,"9.2, 9.3, 9.4, 9.8",< 200 m,lc,0
187442,pseudolabrus eoethinus,red naped wrasse,NA,"9.2, 9.7",< 200 m,lc,0
187443,halichoeres margaritaceus,pearl-spotted wrasse,NA,"9.3, 9.7, 9.8, 9.9",< 200 m,lc,0
187444,halichoeres pictus,rainbow wrasse,NA,"13.1, 9.8",< 200 m,lc,0
187445,bodianus neopercularis,NA,NA,9.8,< 200 m,dd,NA
187446,thalassoma cupido,cupid wrasse,NA,"12.2, 12.3, 13.1, 9.2, 9.7, 9.8, 9.9",< 200 m,lc,0
187447,cirrhilabrus jordani,flame wrasse,NA,"9.3, 9.8",< 200 m,lc,0
187448,tautogolabrus adspersus,blue perch,NA,"15.11, 9.2, 9.4, 9.7",< 200 m,lc,0
187449,wetmorella tanakai,pigmy possum wrasse,NA,"13.1, 9.2, 9.7, 9.8",< 200 m,dd,NA
187450,coris dorsomacula,pink-lined wrasse,NA,"9.3, 9.4, 9.7, 9.8, 9.8.6",< 200 m,lc,0
187451,halichoeres argus,peacock wrasse,NA,"9.2, 9.8, 9.9",< 200 m,lc,0
187452,cirrhilabrus katherinae,katherine's wrasse,NA,"9.3, 9.7, 9.8",< 200 m,lc,0
187453,anampses elegans,elegant wrasse,NA,"9.2, 9.3, 9.7, 9.8",< 200 m,lc,0
187454,halichoeres scapularis,brownbanded wrasse,NA,"12.2, 9.3, 9.4, 9.8, 9.8.4, 9.8.6, 9.9",< 200 m,lc,0
187455,symphodus trutta,emerald wrasse,NA,"9.2, 9.9",< 200 m,lc,0
187456,doratonotus megalepis,dwarf wrasse,NA,"9.2, 9.7, 9.8, 9.9",< 200 m,lc,0
187457,dotalabrus aurantiacus,pretty polly,NA,"12.1, 9.2, 9.4, 9.7, 9.9",< 200 m,lc,0
187458,cheilinus quinquecinctus,NA,NA,9.8,< 200 m,lc,0
187459,suezichthys cyanolaemus,blue-throated rainbow wrasse,NA,"9.2, 9.3, 9.7",< 200 m,lc,0
187460,cirrhilabrus brunneus,NA,NA,9.3,< 200 m,dd,NA
187461,cirrhilabrus exquisitus,exquisite wrasse,NA,"13.1, 9.2, 9.3, 9.8",< 200 m,dd,NA
187462,pseudojuloides mesostigma,black-patch wrasse,NA,"9.8, 9.8.6",< 200 m,lc,0
187463,leptojulis urostigma,tail-spot v-wrasse,NA,"9.5, 9.6",< 200 m,lc,0
187464,thalassoma newtoni,newton's wrasse,NA,"9.2, 9.7",< 200 m,lc,0
187465,halichoeres stigmaticus,u-spot wrasse,NA,"9.2, 9.3",< 200 m,lc,0
187466,oxycheilinus digramma,cheek-lined maori wrasse,NA,"9.2, 9.8, 9.9",< 200 m,lc,0
187467,halichoeres cosmetus,adorned wrasse,NA,9.3,< 200 m,lc,0
187468,pseudolabrus semifasciatus,NA,NA,9.2,< 200 m,lc,0
187469,xyrichtys koteamea,NA,NA,"9.4, 9.8",< 200 m,dd,NA
187470,halichoeres tenuispinis,chinese wrasse,NA,"12.7, 9.7, 9.8, 9.8.6, 9.9",< 200 m,lc,0
187471,choerodon gymnogenys,purplelined wrasse,NA,"12.2, 12.3, 13.1, 9.2, 9.3",< 200 m,dd,NA
187472,pseudocoris bleekeri,yellow-band wrasse,NA,"9.2, 9.3, 9.8",< 200 m,lc,0
187473,halichoeres vrolikii,indian ocean pinstriped wrasse,NA,"9.2, 9.7, 9.8",< 200 m,lc,0
187474,halichoeres trimaculatus,three-spot wrasse,NA,"9.8, 9.8.5, 9.8.6, 9.9",< 200 m,lc,0
187475,symphodus mediterraneus,axillary wrasse,NA,"9.2, 9.7, 9.9",< 200 m,lc,0
187476,hemigymnus melapterus,blackedge thicklip wrasse,NA,"9.2, 9.7, 9.8, 9.9",< 200 m,lc,0
187477,pseudocheilinus hexataenia,six-line wrasse,NA,"13.1, 9.2, 9.7, 9.8",< 200 m,lc,0
187478,halichoeres leucurus,chain-line wrasse,NA,"9.7, 9.8, 9.8.4, 9.8.6, 9.9",< 200 m,lc,0
187479,tautoga onitis,black-fish,NA,"9.10, 9.2, 9.7, 9.9",< 200 m,vu,0.4
187480,pseudojuloides elongatus,long green wrasse,NA,"9.2, 9.7, 9.8",< 200 m,dd,NA
187481,pseudolabrus miles,scarlet wrasse,NA,"9.2, 9.7",< 200 m,lc,0
187482,halichoeres bivittatus,slippery dick,NA,"13.1, 9.2, 9.8, 9.9",< 200 m,lc,0
187483,cirrhilabrus melanomarginatus,NA,NA,"9.3, 9.8",< 200 m,lc,0
187484,cirrhilabrus solorensis,red-eye wrasse,NA,"9.3, 9.8",< 200 m,dd,NA
187485,suezichthys notatus,japanese rainbow wrasse,NA,"9.2, 9.3",< 200 m,lc,0
187486,thalassoma septemfasciatum,seven-banded wrasse,NA,"9.2, 9.7",< 200 m,dd,NA
187487,iniistius javanicus,java razorfish,NA,"13.1, 9.3, 9.4",< 200 m,dd,NA
187488,choerodon graphicus,graphic tuskfish,NA,"12.2, 12.3, 13.1, 9.3, 9.4, 9.8, 9.8.6",< 200 m,lc,0
187489,stethojulis strigiventer,silver-streaked rainbowfish,NA,"9.3, 9.8, 9.9",< 200 m,lc,0
187490,thalassoma amblycephalum,bluntheaded wrasse,NA,"9.2, 9.3, 9.8",< 200 m,lc,0
187491,austrolabrus maculatus,black-spotted wrasse,NA,"9.2, 9.7",< 200 m,lc,0
187492,symphodus ocellatus,ocellated wrasse,NA,"9.2, 9.7, 9.9",< 200 m,lc,0
187493,bodianus speciosus,blackbar hogfish,NA,"17, 9.2, 9.7, 9.8",< 200 m,dd,NA
187494,paracheilinus cyaneus,blue flasher-wrasse,NA,"9.2, 9.3, 9.4, 9.7, 9.8",< 200 m,lc,0
187495,bodianus scrofa,barred hogfish,NA,"17, 9.2",< 200 m,vu,0.4
187496,cheilinus abudjubbe,abudjubbe’s splendor wrasse,NA,"12.2, 12.3, 13.1, 9.7, 9.8, 9.9",< 200 m,lc,0
187497,labropsis xanthonota,wedge-tailed wrasse,NA,9.8,< 200 m,lc,0
187498,coris ballieui,light colored wrasse fish,NA,"9.3, 9.4, 9.8, 9.8.6",< 200 m,lc,0
187499,choerodon zosterophorus,black-blotch tuskfish,NA,"9.2, 9.4, 9.8, 9.8.1, 9.8.4, 9.8.6",< 200 m,lc,0
187500,thalassoma heiseri,pitcairn rainbow wrasse,NA,"9.2, 9.8",< 200 m,lc,0
187501,cirrhilabrus aurantidorsalis,orange-back wrasse,NA,"9.3, 9.8",< 200 m,lc,0
187502,cirrhilabrus randalli,NA,NA,"9.3, 9.8",< 200 m,lc,0
187503,pseudojuloides argyreogaster,ring-cheek slender wrasse,NA,"9.2, 9.8, 9.9",< 200 m,lc,0
187504,stethojulis maculata,NA,NA,"9.2, 9.4, 9.8",< 200 m,lc,0
187505,cirrhilabrus flavidorsalis,yellow-fin fairy wrasse,NA,"9.8, 9.8.2, 9.8.6",< 200 m,lc,0
187506,bodianus frenchii,foxfish,NA,"9.2, 9.7",< 200 m,nt,0.2
187507,halichoeres richmondi,richmond's wrasse,NA,9.8,< 200 m,lc,0
187508,pseudolabrus torotai,NA,NA,"9.2, 9.8",< 200 m,lc,0
187509,bodianus solatus,NA,NA,9.2,< 200 m,dd,NA
187510,nelabrichthys ornatus,tristan rainbow wrasse,NA,"12.6, 13.1, 9.2, 9.7",< 200 m,lc,0
187511,choerodon fasciatus,harlequin tuskfish,NA,"12.1, 9.2, 9.8, 9.8.3",< 200 m,lc,0
187512,halichoeres cyanocephalus,yellowcheek wrasse,NA,"13.1, 9.3, 9.8",< 200 m,lc,0
187513,anchichoerops natalensis,natal wrasse,NA,9.2,< 200 m,lc,0
187514,paracheilinus carpenteri,pink flasher,NA,"9.3, 9.7",< 200 m,dd,NA
187515,halichoeres podostigma,green-tail wrasse,NA,9.8,< 200 m,lc,0
187516,bodianus axillaris,turncoat hogfish,NA,9.8,< 200 m,lc,0
187517,diproctacanthus xanthurus,wandering cleaner wrasse,NA,"9.2, 9.8",< 200 m,lc,0
187518,cirrhilabrus luteovittatus,yellowband wrasse,NA,"9.3, 9.8",< 200 m,lc,0
187519,pictilabrus laticlavius,patrician wrasse,NA,"9.2, 9.7, 9.9",< 200 m,lc,0
187520,achoerodus gouldii,western blue groper,NA,"9.10, 9.2, 9.7",< 200 m,vu,0.4
187521,paracheilinus hemitaeniatus,NA,NA,"9.3, 9.8",< 200 m,lc,0
187522,symphodus bailloni,baillon's wrasse,NA,"9.2, 9.9",< 200 m,lc,0
187523,oxycheilinus bimaculatus,twospot maori wrasse,NA,"9.3, 9.7, 9.8, 9.8.4, 9.8.6, 9.9",< 200 m,lc,0
187524,thalassoma rueppellii,klunzinger's wrasse,NA,9.8,< 200 m,lc,0
187525,terelabrus rubrovittatus,yellow-stripe hogfish,NA,9.8,< 200 m,lc,0
187526,larabicus quadrilineatus,fourline wrasse,NA,9.8,< 200 m,dd,NA
187527,hologymnosus doliatus,narrow-banded wrasse,NA,"13.1, 9.3, 9.4",< 200 m,lc,0
187528,bodianus paraleucosticticus,five-striped hogfish,NA,"9.2, 9.8",< 200 m,dd,NA
187529,choerodon frenatus,bridled tuskfish,NA,"12.2, 12.3, 13.1, 9.3, 9.4",< 200 m,lc,0
187530,cymolutes torquatus,finescale razorfish,NA,"9.10, 9.2, 9.4, 9.8, 9.9",< 200 m,lc,0
187531,halichoeres raisneri,NA,NA,18,unknown,dd,NA
187532,coris atlantica,NA,NA,"9.2, 9.3, 9.9",< 200 m,lc,0
187533,pseudolabrus guentheri,günther's wrasse,NA,"9.2, 9.7, 9.8",< 200 m,lc,0
187534,halichoeres zeylonicus,sri lankan wrasse,NA,"9.2, 9.3, 9.4, 9.8",< 200 m,lc,0
187535,notolabrus parilus,orange spotted wrasse,NA,"9.2, 9.7, 9.9",< 200 m,lc,0
187536,gomphosus varius,purple club-nosed wrasse,NA,"12.2, 12.3, 13.1, 9.2, 9.7, 9.8, 9.9",< 200 m,lc,0
187537,halichoeres orientalis,NA,NA,"9.2, 9.8",< 200 m,lc,0
187538,cirrhilabrus roseafascia,rose-band fairy wrasse,NA,"9.3, 9.8",< 200 m,lc,0
187539,iniistius twistii,NA,NA,"9.3, 9.4",< 200 m,lc,0
187540,paracheilinus piscilineatus,NA,NA,"9.3, 9.4",< 200 m,lc,0
187541,labrus merula,brown wrasse,NA,"9.2, 9.7, 9.9",< 200 m,lc,0
187542,pseudolabrus biserialis,redband wrasse,NA,"9.2, 9.7",< 200 m,lc,0
187543,cirrhilabrus cenderawasih,cenderawasih wrasse,NA,"9.3, 9.8",< 200 m,lc,0
187544,cirrhilabrus cyanopleura,yellow-flanked wrasse,NA,"9.2, 9.8, 9.8.6",< 200 m,dd,NA
187545,halichoeres timorensis,timor wrasse,NA,"9.2, 9.7, 9.8",< 200 m,lc,0
187546,clepticus parrae,creole wrasse,NA,"13.1, 9.8",< 200 m,lc,0
187547,pseudocoris yamashiroi,yamashiro's wrasse,NA,"9.4, 9.8",< 200 m,lc,0
187548,halichoeres nebulosus,clouded rainbow fish,NA,"12.2, 12.3, 13.1, 9.2, 9.3, 9.7, 9.8, 9.9",< 200 m,lc,0
187549,halichoeres maculipinna,clown wrasse,NA,"13.1, 9.3, 9.8",< 200 m,lc,0
187550,lappanella guineensis,NA,NA,9.2,< 200 m,dd,NA
187551,hemigymnus sexfasciatus,NA,NA,"9.4, 9.8, 9.8.2, 9.8.3, 9.8.6",< 200 m,dd,NA
187552,paracheilinus octotaenia,red sea eightline flasher,NA,"9.3, 9.7, 9.8",< 200 m,lc,0
187553,bodianus vulpinus,NA,NA,"13.1, 17, 9.2",< 200 m,lc,0
187554,bodianus bilunulatus,crescent banded hogfish,NA,9.8,< 200 m,lc,0
187555,anampses chrysocephalus,psychedelic wrasse,NA,"9.2, 9.8",< 200 m,lc,0
187556,wetmorella albofasciata,whitebanded sharpnose wrasse,NA,"13.1, 9.2, 9.7, 9.8",< 200 m,lc,0
187557,pictilabrus brauni,braun's senator wrasse braun’s senator wrasse,NA,"9.2, 9.7",< 200 m,dd,NA
187558,suezichthys devisi,australian slender wrasse,NA,"9.10, 9.4, 9.5, 9.6, 9.8, 9.8.6",< 200 m,lc,0
187559,thalassoma hardwicke,six-banded wrasse,NA,"12.2, 12.3, 13.1, 9.2, 9.7, 9.8, 9.9",< 200 m,lc,0
187560,paracheilinus lineopunctatus,spot-lined flasher,NA,"9.3, 9.8",< 200 m,lc,0
187561,halichoeres solorensis,solor wrasse,NA,"9.3, 9.4, 9.8",< 200 m,lc,0
187562,suezichthys gracilis,slender wrasse,NA,"9.2, 9.3, 9.4, 9.8, 9.8.6",< 200 m,lc,0
187563,stethojulis interrupta,one-line rainbowfish,NA,"9.2, 9.8, 9.8.6",< 200 m,lc,0
187564,halichoeres melasmapomus,ocellated wrasse,NA,"9.3, 9.8, 9.8.6",< 200 m,lc,0
187565,halichoeres biocellatus,two-spotted wrasse,NA,"9.2, 9.7, 9.8",< 200 m,lc,0
187566,notolabrus cinctus,girdled wrasse,NA,"9.2, 9.7",< 200 m,lc,0
187567,anampses lennardi,blue and yellow wrasse,NA,"9.2, 9.3, 9.4, 9.8",< 200 m,lc,0
187568,choerodon oligacanthus,white-patch tuskfish,NA,"9.6, 9.8",< 200 m,lc,0
187569,gomphosus caeruleus,indian ocean bird wrasse,NA,9.8,< 200 m,lc,0
187570,bodianus pulchellus,spotfin hogfish,NA,"9.2, 9.8",< 200 m,lc,0
187571,bodianus prognathus,NA,NA,9.8,< 200 m,lc,0
187572,achoerodus viridis,eastern blue groper,NA,"9.10, 9.2, 9.7, 9.9",< 200 m,nt,0.2
187573,symphodus rostratus,sublaire,NA,"9.2, 9.7, 9.9",< 200 m,lc,0
187574,suezichthys soelae,soela trawl wrasse,NA,"9.3, 9.4",< 200 m,lc,0
187575,labroides pectoralis,gold barrier reef cleaner,NA,"12.2, 12.3, 13.1, 9.2, 9.8",< 200 m,lc,0
187576,bodianus sepiacaudus,NA,NA,9.8,< 200 m,dd,NA
187577,oxycheilinus nigromarginatus,blackmargin maori wrasse,NA,"9.2, 9.3, 9.4, 9.8",< 200 m,dd,NA
