am_sid,binomial
its-551592,penaeus marginatus
slb-118449,goniosupradens obtusifrons
w-bch-210202,euxanthus exsculptus
w-bch-208971,cymo andreossyi
w-bch-207578,ocypode ceratophthalmus
w-bch-207531,geograpsus grayi
w-bch-207544,thalassograpsus harpax
w-bch-208854,thranita danae
its-551597,metapenaeopsis beebei
w-cha-266267,serratosagitta bierii
its-551691,metapenaeopsis kishinouyei
w-msc-216265,neritopsis radula
w-hex-283337,anthopleura artemisia
w-msc-208494,chama brassica
w-msc-507829,pitar prora
w-msc-395234,helicoradomenia juani
w-msc-449948,clypeosectus curvus
w-msc-449949,clypeosectus delectus
w-msc-449970,lepetodrilus cristatus
w-msc-449971,lepetodrilus elevatus
w-msc-449972,lepetodrilus fucensis
w-msc-449977,lepetodrilus ovalis
w-msc-449978,lepetodrilus pustulosus
w-msc-536893,bathymargarites symplector
w-msc-449983,melanodrymia aurantiaca
w-msc-449994,pachydermia laevis
w-msc-413442,depressigyra globulus
w-msc-450005,provanna laevis
w-msc-450012,provanna variabilis
w-msc-464366,turneroconcha magnifica
w-msc-183000,bathymodiolus thermophilus
w-pol-330201,ophryotrocha globopalpata
w-pol-334364,paralvinella sulfincola
w-cop-348896,aphotopontius mammillatus
slb-119636,munidopsis lauensis
w-bch-440288,bythograea microps
w-bch-440289,bythograea thermydron
w-oph-238166,spinophiura jolliveti
its-551665,rimapenaeus pacificus
slb-120057,galacantha rostrata
slb-120087,corculum cardissa
its-682635,siriella thompsonii
w-pol-131573,terebellides stroemii
w-bch-410816,austinixa cristata
w-bch-441584,lahaina ovata
w-bch-441601,loxorhynchus crispatus
w-bch-441602,loxorhynchus grandis
w-bch-441698,scyra acutifrons
w-bch-207574,percnon planissimum
w-bch-395028,plagusia squamosa
its-660110,pentacheles laevis
its-660146,pachycheles pisoides
its-660147,petrolisthes coccineus
w-bch-442766,callinectes arcuatus
w-bch-208760,carupa tenuipes
w-bch-241109,cronius ruber
w-bch-442772,laleonectes nipponensis
w-bch-208767,lissocarcinus orbicularis
w-bch-208884,podophthalmus vigil
w-bch-1061764,achelous xantusii
w-bch-208849,thalamita admete
w-bch-208876,thranita coeruleipes
slb-12273,thranita crenata
slb-12277,thalamita integra
w-bch-208852,thalamita picta
pbd-225073,thalamitoides quadridens
w-bch-209568,lyreidus tridentatus
its-659868,cinetorhynchus concolor
its-659874,cinetorhynchus reticulatus
its-95923,sergestes atlanticus
slb-124613,ilyanassa obsoleta
its-95940,gardinerosergia bigemmea
slb-12493,robustosergia regalis
its-95944,gardinerosergia gardineri
its-552053,sergia laminata
its-552057,phorcosergia potens
its-552060,robustosergia regalis
its-95949,scintillosergia scintillans
its-552062,challengerosergia talismani
w-oph-243641,ophioderma panamense
its-684695,sergia tenuiremis
its-551706,sicyonia affinis
slb-125430,plesionika spinipes
its-551711,sicyonia disdorsalis
its-551718,sicyonia inflexa
its-96038,sicyonia ingentis
its-96033,sicyonia laevigata
its-96041,sicyonia penicillata
its-551728,sicyonia picta
slb-125715,plesionika semilaevis
slb-125813,aegaeon lacazei
its-95958,hadropenaeus lucasii
its-620919,hymenopenaeus equalis
its-551986,hymenopenaeus halli
its-552002,solenocera comata
its-97298,stenopus hispidus
w-bch-210186,trapezia tigrina
w-ech-568594,cystechinus loveni
its-98208,upogebia pugettensis
w-bch-209112,etisus demani
w-bch-209113,etisus dentatus
w-bch-209087,leptodius exaratus
slb-12791,leptodius gracilis
w-bch-209091,leptodius sanguineus
w-bch-444382,lophozozymus incisus
w-bch-209079,lophozozymus pulchellus
w-bch-209159,lydia annulipes
w-hyd-285930,synthecium orthogonium
w-bch-209127,pilodius areolatus
w-bch-209074,platypodia semigranosa
w-bch-211013,polydectus cupulifer
w-bch-209016,pseudoliomera speciosa
w-bch-211048,tweedieia laysani
w-msc-505943,amygdalum peasei
w-bch-209103,xanthias latifrons
slb-128726,hyotissa inermis
w-bch-209076,zosimus aeneus
wbd-eup-17,euphausia brevis
wbd-eup-19,euphausia diomedeae
wbd-eup-21,euphausia eximia
w-msc-394357,anguipecten superbus
w-msc-207886,spondylus limbatus
wbd-eup-25,euphausia gibboides
w-msc-592749,lasaea undulata
wbd-eup-35,euphausia pacifica
slb-128990,globivenus toreuma
wbd-eup-44,euphausia tenera
wbd-eup-49,nematobrachion flexipes
w-msc-714919,macoma incongrua
wbd-eup-55,nematoscelis megalops
wbd-eup-61,nyctiphanes simplex
wbd-eup-64,stylocheiron abbreviatum
wbd-eup-65,stylocheiron affine
wbd-eup-67,stylocheiron carinatum
wbd-eup-71,stylocheiron longicorne
wbd-eup-72,stylocheiron maximum
wbd-eup-78,thysanoessa inermis
wbd-eup-81,thysanoessa longipes
wbd-eup-84,thysanoessa raschii
wbd-eup-85,thysanoessa spinifera
wbd-eup-88,thysanopoda aequalis
wbd-eup-90,thysanopoda cornuta
wbd-eup-95,thysanopoda monacantha
wbd-eup-97,thysanopoda orientalis
w-msc-207853,spondylus varius
w-msc-207847,plicatula plicata
w-msc-207687,cadella semen
w-msc-214509,gastrochaena cuneiformis
w-oph-213420,ophiuroglypha kinbergi
chn-0721ac0c-7d19-46fa-9dcc-02da54310867,leiogalathea laevirostris
slb-130236,munida curvirostris
slb-130687,rugathanas borradailei
slb-130747,alpheus alcyone
pbd-274829,alpheus bidens
slb-130775,alpheus edamensis
slb-130784,alpheus eulimene
pbd-274835,alpheus facetus
slb-130790,alpheus frontalis
w-iso-256455,rocinela angustata
slb-130859,alpheus malleodigitus
w-iso-256457,rocinela belliceps
slb-130895,alpheus obesomanus
slb-130899,alpheus pachychirus
slb-130902,goniobranchus sinensis
slb-130976,alpheus staphylinus
pbd-274850,alpheus sulcatus
w-msc-181233,dendrodoris fumata
slb-130994,athanas areteformis
slb-131010,athanas djiboutensis
pbd-274854,arete dorsalis
slb-131019,arete indicus
pbd-274861,athanas parvus
slb-131047,salmoneus serratidigitus
slb-131061,synalpheus demani
slb-131082,synalpheus nilandensis
pbd-274928,plesionika bifurca
slb-131319,synalpheus mexicanus
slb-131835,dictyota ciliolata
slb-131849,padina sanctaecrucis
slb-131914,jania adhaerens
slb-132192,codium geppiorum
slb-132492,valonia aegagropila
slb-132510,caulerpa racemosa
slb-132722,ulva intestinalis
slb-132863,caulerpa sertularioides
slb-132865,caulerpa taxifolia
slb-133001,digenea simplex
slb-133119,gelidium pusillum
slb-133288,ganonema farinosum
slb-133539,scinaia hormoides
slb-133573,gelidiella acerosa
slb-133641,gracilaria coronopifolia
slb-133750,gracilaria salicornia
slb-133812,chondrus crispus
w-iso-157908,ptilanthura tenuis
slb-134572,porolithon onkodes
slb-134854,chaetomorpha linum
slb-135183,derbesia marina
slb-135293,asteronema breviarticulatum
slb-135613,hypnea valentiae
slb-136248,lobophora variegata
slb-136337,hypnea pannosa
slb-136896,eucheuma denticulatum
slb-138599,plocamium cartilagineum
slb-139722,martensia fragilis
slb-140012,acanthophora spicifera
slb-140653,stylonema alsidii
slb-140804,erythrotrichia carnea
slb-141293,hypnea musciformis
slb-141400,iridaea cordata
slb-141668,portieria hornemannii
slb-142358,bornetella sphaerica
slb-142440,caulerpa cupressoides
slb-142481,caulerpa lentillifera
slb-142621,codium arabicum
slb-142668,avrainvillea erecta
slb-142733,halimeda macroloba
slb-142743,halimeda opuntia
slb-142774,tydemania expeditionis
slb-143238,ulva lactuca
w-oli-475801,limnodriloides barnardi
slb-145429,macrocystis pyrifera
slb-146066,padina gymnospora
slb-146083,turbinaria conoides
slb-147286,ulva clathrata
w-iso-118204,bopyroides hippolytes
slb-152779,hydropuntia edulis
slb-153360,asparagopsis taxiformis
slb-153747,pikea californica
slb-154005,grateloupia doryphora
slb-154625,colpomenia sinuosa
slb-154626,hydroclathrus clathratus
slb-154769,alpheus panamensis
w-oph-212334,ophiactis modesta
slb-154994,breviturma dentata
w-bch-210272,micippa platipes
w-bch-209060,atergatis integerrimus
chn-5b98a280-b9a0-435b-8ed9-87b3f63fc29b,periclimenella spinifera
slb-155442,calcinus minutus
slb-155445,ciliopagurus krempfi
slb-155473,clibanarius corallinus
w-por-157411,pione vastifica
slb-155613,clibanarius eurysternus
slb-155614,clibanarius humilis
slb-155743,pylopaguropsis fimbriata
slb-155762,sympagurus planimanus
slb-155763,sympagurus trispinosus
slb-156207,lithotrya valentiana
w-bch-440188,lamoha murotoensis
w-bch-209525,arcania undecimspinosa
w-hol-529516,isostichopus fuscus
w-msc-140491,nassarius arcularia
w-msc-505492,limaria fragilis
w-bch-441377,leucosia craniolaris
w-iso-119034,saduria entomon
w-bra-235437,thecidellina maxilla
its-773729,rhinella marina
w-ase-213299,fromia milleporella
w-ase-207607,linckia multifora
slb-157870,cuapetes platycheles
chn-46f58c2c-1280-4f6a-a148-e854c19246fe,harpilius lutescens
slb-157916,cuapetes grandis
slb-157925,cuapetes elegans
nz-7273,callianidea typa
slb-157940,upogebia carinicauda
pbd-275113,galathea subsquamata
slb-158000,munida rufiantennulata
slb-158025,sadayoshia edwardsii
slb-158050,neopetrolisthes maculatus
slb-158063,petrolisthes carinipes
slb-158070,petrolisthes lamarckii
slb-158071,petrolisthes militaris
slb-158075,petrolisthes pubescens
w-msc-207905,bittium glareosum
slb-158179,cuapetes tenuipes
slb-158271,petrolisthes tomentosus
w-msc-393116,laevichlamys squamosa
w-por-165708,stylissa flabelliformis
w-pol-429077,sabellastarte spectabilis
w-iso-258416,excirolana chiltoni
slb-159304,holothuria pardalis
w-bch-442899,thalamita macropus
w-cha-370469,decipisagitta decipiens
kew-308804,ruppia maritima
w-msc-456685,scutellastra flexuosa
w-msc-577188,leucorhynchia caledonica
w-msc-473111,cerithium pacificum
slb-166521,parapontophilus junceus
slb-166541,heterocarpus parvispina
slb-169531,comanthus wahlbergii
w-ech-513245,echinostrephus aciculatus
slb-169637,holothuria cinerascens
slb-169638,holothuria difficilis
slb-169837,ophiothrix koreana
w-bch-444383,lophozozymus pictor
chn-f41af29f-5e40-4cb4-8862-220e6e64b329,michelopagurus limatulus
w-bch-208846,thranita prymna
slb-170926,notocochlis gualteriana
w-msc-139943,firoloida desmarestia
slb-171017,heterocarpus affinis
w-msc-216649,mirapecten mirificus
w-msc-506718,nanostrea pinnicola
w-msc-141692,isorropodon perplexum
slb-172139,palola siciliensis
wp-149184,avicennia germinans
w-hyd-117914,sertularella distans
w-pol-130871,bispira crassicornis
slb-172986,leiosolenus levigatus
w-msc-394395,glorichlamys elegantissima
w-msc-207824,pascahinnites coruscans
w-oph-242685,amphiodia violacea
slb-173500,gayliella flaccida
slb-173556,stereomastis auriculata
w-pol-131458,syllis variegata
w-pol-131116,dipolydora caulleryi
slb-174025,aricidea lopezi
w-bry-470797,diplosolen obelium
slb-174268,watersipora cucullata
slb-174692,aequiyoldia eightsii
w-oct-173577,umbellula magniflora
w-iso-257353,idotea rufescens
w-iso-257355,idotea urotoma
w-iso-261982,pentidotea wosnesenskii
w-iso-156445,synidotea bicuspida
w-iso-255963,carpias bermudensis
w-iso-256048,joeropsis dubia
slb-182305,pascahinnites coruscans
w-iso-118917,limnoria lignorum
w-oph-243571,ophiocoma aethiops
w-ase-292795,pharia pyramidata
w-ase-292797,phataria unifascialis
w-ase-254919,nidorellia armata
w-iso-148645,limnoria tripunctata
slb-182647,ophiocomella alexandri
w-oph-243647,ophioderma teres
w-oph-244889,amphiura arcystata
w-ech-513138,astropyga pulvinata
w-ech-513223,diadema mexicanum
w-ech-513527,salenocidaris miliaris
w-ech-513244,echinometra vanbrunti
w-ech-513196,clypeaster rotundus
w-ech-513095,agassizia scrobiculata
w-hol-529000,psolus diomedeae
slb-182810,holothuria kefersteinii
w-msc-689282,emarginula dilecta
slb-182953,zebinella tenuistriata
wp-63196,conocarpus erectus
w-bch-441457,huenia heraldica
w-bch-444035,gaillardiellus rueppelli
w-bch-443885,trapezia septata
w-bch-440093,lewindromia unidentata
w-bch-444462,leptograpsus variegatus
w-bch-444469,planes minutus
slb-184619,hydrophis platurus
w-bch-440119,tumidodromia dormia
w-bch-440094,metadromia wilsoni
slb-184830,stereomastis pacifica
slb-184838,stereomastis surda
slb-184844,willemoesia inornata
chn-27d923b5-53c3-4d53-aa10-1f02bea6dd01,chelarctus cultrifer
slb-184912,galearctus aurora
w-por-134257,pseudosuberites montiniger
w-pol-265812,lamellibrachia barhami
w-msc-534728,callistoctopus ornatus
w-pol-266009,ridgeia piscesae
w-pol-266010,riftia pachyptila
w-msc-598655,antisabia foliacea
w-msc-716495,pilosabia trigona
w-pol-265973,oasisia alvinae
w-bch-443859,tetralia nigrolineata
w-bch-441664,pisoides edwardsii
w-bch-444772,hemigrapsus crenulatus
w-ase-255042,meyenaster gelatinosus
w-hol-529595,pentamera chiloensis
w-hol-529363,apostichopus californicus
w-ech-591102,mesocentrotus franciscanus
w-oph-244282,ophiura luetkenii
w-msc-506176,septifer cumingii
slb-188229,doryteuthis opalescens
w-bch-444718,cyclograpsus longipes
slb-188349,paragiopagurus boletifer
w-msc-391668,parvamussium scitulum
w-oct-724231,chromoplexaura marki
w-msc-504778,chama croceata
w-por-170431,cliona californiana
w-por-167343,acarnus erithacus
w-oct-378316,calcigorgia spiculifera
w-ase-370831,pseudarchaster alascensis
slb-188856,evasterias troschelii
w-msc-581816,doris montereyensis
w-msc-718659,neverita lewisii
w-msc-437365,echinolittorina cinerea
slb-189203,nematocarcinus agassizii
w-amp-102695,orchomenella obtusa
w-msc-464200,lucinoma annulata
w-msc-507737,leukoma staminea
w-msc-557157,limneria prolongata
slb-189261,peltodoris nobilis
w-msc-505946,arcuatula senhousia
w-msc-399219,scabrotrophon stuarti
w-ech-569742,strongylocentrotus fragilis
slb-189282,ophiosphalma jolliense
w-oph-243915,ophiopholis japonica
w-oph-243916,ophiopholis kennerlyi
w-iso-118801,pleurogonium rubicundum
w-ase-254775,sagenaster evermanni
w-msc-709499,thylacodes squamigerus
w-ase-292829,tethyaster canaliculatus
w-bch-440384,glebocarcinus oregonensis
w-pol-129827,chloeia viridis
w-pol-129829,eurythoe complanata
w-bch-209021,actaea polyacantha
w-bch-209052,actaeodes consobrinus
w-bch-440254,aethra scruposa
slb-189544,alpheus djeddensis
slb-189552,alpheus roseodigitalis
slb-189553,alpheus sizou
slb-189555,aniculus erythraeus
pbd-274855,arete indicus
w-bch-444374,atergatopsis signata
w-msc-410340,bolitaena pygmaea
w-pol-129831,hermodice carunculata
w-bch-209117,etisus anaglyptus
w-bch-444128,danielea noelensis
w-bch-444088,cyclodius nitidus
slb-189657,coralliogalathea humilis
w-bch-557899,cycloachelous granulatus
w-bch-444085,cyclodius granulosus
w-hol-529431,apostichopus leukothele
w-pol-333833,linopherus ambigua
w-hol-210906,stichopus herrmanni
w-bch-209093,xanthias punctatus
w-bch-558029,forestiana granulata
slb-190046,galathea pilosa
slb-190052,paraleptuca crassipes
slb-190054,trichopagurus trichophthalmus
slb-190058,allosergestes sargassi
slb-190061,parasergestes armatus
w-bch-444460,grapsus longitarsis
slb-190089,ligur ensiferus
w-bch-209144,liocarpilodes harmsi
slb-190133,liomera loevis
slb-190135,liomera stimpsonii
w-bch-444376,lophozozymus anaglyptus
slb-190154,macrophthalmus serenei
w-bch-441473,menaethius orientalis
slb-190165,micropagurus polynesiensis
w-hyd-220571,solanderia secunda
w-msc-390675,parvamussium multiliratum
w-msc-506939,pectinella aequoris
w-msc-391007,pseudohinnites levii
slb-190276,munida armilla
slb-190292,nematocarcinus combensis
slb-190296,neocallichirus jousseaumei
slb-190321,pagurixus anceps
slb-190327,pagurixus maorus
slb-190332,pagurixus ruber
w-bch-207546,pseudograpsus albus
w-bch-442186,paliculus kyusyuensis
slb-190394,petrolisthes borradailei
w-bch-443857,tetralia cinctipes
w-bch-440920,platyozius laevis
pbd-274933,plesionika reflexa
slb-190424,pontonides ankeri
w-bch-208864,thalamita bouvieri
w-bch-208863,trierarchus cooperi
w-bch-208875,thalamita mitsiensis
slb-190476,sadayoshia acroporae
slb-190481,salmoneus tricristatus
slb-190484,stylodactylus libratus
slb-190487,systellaspis guillei
slb-190537,streptopinna saccata
w-msc-238742,grimalditeuthis bonplandii
slb-190539,tylothais aculeata
w-msc-558499,doriprismatica atromarginata
slb-190545,laomenes amboinensis
w-zoa-220520,palythoa tuberculosa
slb-193031,phanogenia gracilis
slb-193392,ancylomenes holthuisi
w-pol-129846,laetmonice producta
w-pol-129925,bhawania goodei
slb-1940,bhawania heteroseta
w-msc-506729,saccostrea palmula
slb-196711,ostrea angelica
w-msc-506739,striostrea prismatica
slb-196738,ostrea megodon
w-msc-394088,leopecten sericeus
w-msc-506000,choromytilus palliopunctatus
w-msc-504514,glycymeris gigantea
w-msc-504494,glycymeris maculata
w-bch-440388,metacarcinus magister
w-msc-519470,trachycardium consors
w-msc-507031,pholas chiloensis
w-msc-507064,atrina maura
w-msc-507084,pinna rugosa
w-msc-506959,spondylus crassisquama
w-pol-562800,aonidella cirrobranchiata
w-msc-504757,neotrapezium sublaevigatum
w-msc-581058,californiconus californicus
w-msc-410403,stigmatoteuthis hoylei
w-msc-476516,monoplex aquatilis
w-msc-405124,spinosipella deshayesiana
w-msc-207671,tridacna noae
w-cub-289378,alatina alata
w-pol-130041,protodorvillea kefersteini
w-pol-334731,schistomeringos longicornis
w-pol-154127,schistomeringos rudolphi
slb-2023,grubeulepis mexicana
slb-2031,leodice antennata
w-pol-130053,eunice aphroditois
w-pol-209825,leodice australis
w-pol-327679,eunice filamentosa
w-pol-209824,eunice indica
w-pol-130058,eunice norvegica
slb-2054,leodice rubra
w-pol-209817,eunice schemacephala
w-pol-130067,eunice vittata
w-pol-157378,eunice websteri
w-pol-130069,lysidice collaris
w-pol-130071,lysidice ninetta
w-pol-329254,marphysa mortenseni
slb-20803,gnorimosphaeroma oregonense
slb-2084,lysidice hebes
w-iso-261827,paracerceis sculpta
slb-2102,glycera brevicirris
slb-21025,sphaeroma quoianum
w-iso-220727,sphaeroma walkeri
w-pol-157388,glycera americana
w-pol-130118,glycera capitata
slb-2108,glycera tridactyla
w-pol-157392,glycera dibranchiata
w-pol-157393,glycera papillosa
w-pol-157395,glycera sphyrabrancha
w-pol-130128,glycera tesselata
w-pol-157396,glycinde multidens
w-pol-157399,goniada littorea
w-pol-130140,goniada maculata
w-pol-157407,goniadides carolinae
w-pol-157414,gyptis vittata
w-pol-130158,hesione splendida
w-pol-328382,heteropodarke lyonsi
its-89852,eucopia grimaldii
its-89818,gnathophausia zoea
w-pol-130228,lumbrinerides acuta
its-89928,boreomysis arctica
w-pol-130242,lumbrineris coccinea
slb-2257,kuwaita heteropoda
w-pol-130246,lumbrineris inflata
w-pol-333891,lumbrineris japonica
w-pol-130248,lumbrineris latreilli
slb-2289,scoletoma tenuis
its-99184,pseudosquilla ciliata
w-pho-128548,phoronis hippocrepia
w-pol-130344,aglaophamus malmgreni
w-pol-157147,aglaophamus verrilli
slb-23149,leptochelia dubia
w-pol-157499,nephtys bucera
w-pol-130362,nephtys incisa
w-pol-157501,nephtys picta
w-tnd-247737,sinelobus stanfordi
w-pol-329561,nephtys simoni
w-pol-334156,nephtys squamosa
w-pol-157292,ceratocephale oculata
slb-23550,acartia danae
slb-23561,acartia longiremis
slb-2358,ceratonereis irritabilis
w-pol-327396,ceratonereis longicirrata
w-pol-327401,ceratonereis singularis
w-pol-333727,laeonereis culveri
w-cop-104468,mesocalanus tenuicornis
w-cop-104510,ctenocalanus vanus
slb-2396,alitta succinea
w-pol-130401,nereis jacksoni
slb-24240,paracalanus parvus
w-pol-130404,nereis pelagica
w-pol-130407,nereis zonata
w-pol-130417,platynereis dumerilii
w-pol-421049,rullierinereis mexicana
w-pol-129854,arabella iricolor
w-cop-106656,oithona similis
w-pol-157203,arabella mutans
w-cop-115509,aegisthus mucronatus
w-pol-129856,drilonereis filum
w-pol-157357,drilonereis longa
w-pol-130451,oenone fulgida
slb-2524,diopatra cuprea
w-pol-326964,diopatra ornata
w-pol-157340,diopatra tridentata
w-pol-334037,mooreonuphis nebulosa
w-pol-130467,nothria conchylega
w-pho-128549,phoronis muelleri
w-pol-130545,paralacydonia paradoxa
w-pol-130603,pholoe minuta
slb-2617,phyllodoce madeirensis
slb-2636,hypereteone heteropoda
w-pol-333276,eulalia myriacyclum
slb-2659,eumida sanguinea
w-pol-130639,eulalia viridis
w-pol-130644,eumida sanguinea
slb-2673,nereiphylla castanea
w-pol-130649,hesionura elongata
w-pol-157521,paranaitis polynoides
w-pho-128550,phoronis ovalis
w-pol-157530,phyllodoce arenae
w-cop-116665,tisbe furcata
its-89561,lepas anatifera
its-656282,dianajonesia fissum
its-89476,pollicipes polymerus
w-pol-130686,pterocirrus macroceros
w-pol-130695,ancistrosyllis groenlandica
w-pol-157174,ancistrosyllis jonesi
w-pol-421051,ancistrosyllis papillosa
w-pol-157290,cabira incerta
slb-2747,hermundura fauveli
w-pol-157568,sigambra bassi
w-pol-130703,sigambra tentaculata
w-pol-130704,synelmis albini
w-pol-130707,pisione remota
its-89606,balanus crenatus
its-89613,balanus nubilus
its-89658,megabalanus californicus
its-89661,tetraclita squamosa
w-ost-127794,halocypris inflata
w-ost-127716,macrocypridina castanea
w-ost-128398,xestoleberis aurantia
w-pyc-239888,achelia alaskensis
w-pyc-240271,achelia assimilis
w-pyc-134598,achelia borealis
w-pyc-239549,achelia latifrons
w-pyc-239556,achelia sawayai
w-pyc-158476,achelia spinosa
w-pyc-134609,ammothella appendiculata
w-pyc-239506,ascorhynchus japonicum
w-pyc-240356,nymphopsis duodorsospinosa
w-pyc-239658,sericosura venticola
w-pyc-240357,tanystylum duospinum
slb-29559,tanystylum grossifemorum
slb-29572,tanystylum duospinum
w-pol-209658,hermenia acantholepis
w-pyc-239465,anoropallene palpida
w-pyc-239456,callipallene californiensis
w-pyc-239816,pigrogromitus timsanus
w-pyc-134655,pseudopallene circularis
w-pyc-134663,colossendeis colossea
w-pyc-134664,colossendeis cucurbita
w-pyc-134666,colossendeis macerrima
w-pyc-134667,colossendeis minor
w-pyc-239761,hedgpethia chitinosa
w-pyc-134682,nymphon brevitarse
w-pyc-134688,nymphon grossipes
w-pho-128552,phoronis psammophila
w-pyc-239872,nymphon pixellae
w-pol-130799,lepidonotus carinulatus
w-pyc-239543,anoplodactylus batangensis
w-pyc-134716,anoplodactylus californicus
w-pyc-240169,anoplodactylus erectus
w-pyc-240414,anoplodactylus pycnosoma
w-pyc-134729,anoplodactylus typhlops
w-pyc-239846,anoplodactylus viridintestinalis
w-pol-157450,lepidonotus sublevis
w-pyc-134741,phoxichilidium femoratum
w-pyc-240277,pycnogonum stearnsi
w-bra-104061,megerlia truncata
w-bra-235604,frenulina sanguinolenta
w-bra-235615,terebratalia transversa
w-bra-183339,pelagodiscus atlanticus
w-bra-235369,glottidia albida
w-prl-101160,priapulus caudatus
w-cha-105414,eukrohnia bathypelagica
w-cha-105416,eukrohnia hamata
w-cha-105429,krohnitta subtilis
w-cha-105430,pterosagitta draco
w-cha-105431,caecosagitta macrocephala
w-cha-105434,flaccisagitta enflata
w-cha-105435,flaccisagitta hexaptera
w-cha-105437,mesosagitta minima
w-cha-105440,parasagitta elegans
w-cha-105441,parasagitta friderici
w-cha-105445,pseudosagitta maxima
slb-30831,pseudosagitta lyra
w-cha-266268,serratosagitta pacifica
w-pol-157567,sigalion arenicola
w-pol-131279,branchiosyllis exilis
w-pol-157288,brania wellfleetensis
w-pol-131290,eusyllis blomstrandi
w-pol-333453,exogone dispar
slb-3281,exogone lourei
w-pol-157524,parapionosyllis longicirrata
slb-3321,westheidesyllis gesae
slb-3334,plakosyllis brevipes
w-pol-156432,sphaerosyllis magnidentata
w-pol-131392,sphaerosyllis pirifera
w-pol-131393,sphaerosyllis piriferopsis
w-pol-131394,sphaerosyllis taylori
w-pol-157583,syllis cornuta
w-pol-131435,syllis gracilis
slb-3401,pseudosyllis brevipennis
w-pol-131465,trypanosyllis gigantea
w-pol-332237,trypanosyllis vittigera
w-pol-131467,trypanosyllis zebra
slb-3419,syllis cornuta
slb-3428,syllis hyalina
w-pol-129784,amphicteis gunneri
w-pol-326344,amphicteis scaphobranchiata
w-pol-129914,chaetopterus variopedatus
w-pho-128555,phoronopsis harmeri
w-pol-157487,mesochaetopterus taylori
w-pol-330562,phyllochaetopterus prolifica
w-pol-129920,phyllochaetopterus socialis
w-pol-129922,spiochaetopterus costarum
w-pol-129955,chaetozone setosa
w-pol-327435,dodecaceria fewkesi
slb-3659,kirkegaardia dorsobranchialis
w-app-103382,fritillaria haplostoma
slb-36694,oikopleura albicans
slb-36698,oikopleura dioica
slb-36705,oikopleura labradoriensis
slb-36706,oikopleura longicauda
slb-36708,oikopleura rufescens
w-asc-251741,agnezia glaciata
w-asc-103700,ascidia callosa
w-asc-249976,ascidia ceratodes
w-asc-249992,ascidia gemmata
w-asc-250022,ascidia paratropa
w-asc-103714,ascidia prunum
w-asc-215940,ascidia sydneiensis
w-asc-103732,ciona intestinalis
w-asc-250311,clavelina huntsmani
w-pol-130099,bradabyssa villosa
w-pol-157341,diplocirrus capensis
w-asc-250378,corella willmeriana
w-asc-103749,rhodosoma turcicum
w-asc-146902,didemnum candidum
w-asc-250480,didemnum carnulentum
w-asc-212503,didemnum granulatum
w-asc-250558,didemnum moseleyi
w-asc-250599,didemnum sordidum
w-asc-103579,diplosoma listerianum
slb-37193,diplosoma listerianum
slb-3720,semiodera inflata
w-pol-130113,pherusa plumosa
w-asc-250760,leptoclinides rufus
w-asc-215976,lissoclinum bistratum
w-asc-250786,lissoclinum fragile
w-pol-334533,piromis roberti
w-asc-251534,trididemnum savignii
w-asc-250653,euherdmania claviformis
w-asc-250152,distaplia occidentalis
w-asc-250160,distaplia smithi
w-pol-329151,magelona pacifica
w-pol-329160,magelona riojai
w-asc-103601,cystodytes dellechiajei
w-asc-250432,cystodytes lobatus
w-asc-250226,eudistoma laysani
w-pol-130544,owenia fusiformis
w-asc-249841,aplidium crateriferum
w-pol-330841,poecilochaetus johnsoni
w-asc-215889,aplidium solidum
w-asc-215891,polyclinum constellatum
w-asc-251110,polyclinum planum
w-pol-334501,phragmatopoma californica
w-asc-251245,pycnoclavella stanleyi
w-asc-249962,asajirus indicus
w-asc-103788,molgula manhattensis
w-asc-103790,molgula occidentalis
w-asc-103796,molgula retortiformis
w-asc-250062,bathypera ovoida
w-asc-103814,boltenia echinata
w-asc-103815,boltenia ovifera
w-asc-250073,boltenia villosa
w-asc-250674,halocynthia aurantium
w-asc-250677,halocynthia igaboja
w-asc-103830,herdmania momus
w-asc-250843,microcosmus curvus
w-asc-103838,microcosmus exasperatus
w-asc-251266,pyura haustor
w-asc-103857,bathystyeloides enderbyanus
w-pol-333269,eudistylia polymorpha
w-asc-266168,botryllus perspicuum
w-asc-103862,botryllus schlosseri
w-pol-333271,eudistylia vancouveri
w-asc-173855,cnemidocarpa drygalskii
w-asc-103870,cnemidocarpa finmarkiensis
w-asc-250343,cnemidocarpa floccosa
w-asc-250346,cnemidocarpa irene
slb-3888,fabricia stellaris
w-asc-183127,dicarpa simplex
w-asc-250827,metandrocarpa dura
w-asc-250836,metandrocarpa taylori
w-asc-103894,pelonaia corrugata
w-asc-103895,polyandrocarpa zorritensis
w-asc-251002,polycarpa aurita
w-asc-253509,polycarpa cryptocarpa
slb-3912,acromegalomma bioculatum
w-asc-103926,styela canopus
w-asc-103930,styela coriacea
w-asc-103933,styela gibbsii
slb-3916,acromegalomma pigmentum
w-asc-240756,styela montereyensis
w-asc-103936,styela plicata
slb-3919,acromegalomma vesiculosum
w-asc-173969,styela squamosa
w-asc-251435,symplegma brakenhielmi
w-pol-130932,myxicola infundibulum
slb-3936,pseudopotamilla reniformis
w-pol-209935,sabellastarte sanctijosephi
w-pol-130984,apomatus similis
w-pol-326864,crucigera websteri
w-pol-131000,hydroides dianthus
